"TMINN","TMAXX","RAINFALL","VPD","SRAD","SoilMoist","WIND"
11,21.2,45.4,0.52,135.5,0.0066,3.43
8.7,19.3,63.4,0.42,103,0.0078,4.31
7.2,17.4,86.3,0.36,109.6,0.0373,4
9.2,20.5,57.4,0.48,155.6,0.0253,4.17
9.5,19.8,51.4,0.55,194.1,0.0181,3.56
11.8,23.5,10.3,0.82,262.2,0.0142,4.36
14.7,26.3,7.1,1.02,308.7,0.0118,5.77
16,28.5,12.1,1.17,336.3,0.0101,5.12
16,27.9,7.6,1.21,327.8,0.0088,6.03
16.9,29,4.7,1.23,308.9,0.0078,5.76
14.9,28.2,10.6,1.09,246.2,0.0071,4.45
13.1,25.6,36.6,0.97,182.3,0.0064,4.5
11.1,22.3,9,0.61,139.9,0.0059,2.8
8.3,19,104,0.4,108.6,0.0453,4.48
7.10000000000001,19,34.9,0.42,120.9,0.0326,3.64
7.8,18.4,60.2,0.48,147.1,0.0273,4.56
10.5,21.9,26.8,0.64,199.9,0.019,4.3
10.7,22.1,36.1,0.79,260.1,0.0148,5.21
13.3,24.6,32.2,0.92,302.8,0.0121,5.68
15.1,26.8,7,1.21,338.9,0.0103,5.96
17.1,28.4,7.3,1.1,320.6,0.009,6.2
16.5,28.5,19.8,1.14,308.2,0.008,5.8
14.8,26.5,15.4,0.85,238.8,0.0072,4.7
13.5,24.8,39.9,0.64,182.1,0.0065,4.4
11.3,21.2,86.2,0.44,127.1,0.0151,4.1
9.40000000000001,19.1,74.3,0.32,104.8,0.0235,5.1
9,18.9,60.7,0.42,119.3,0.0225,3.8
6.7,16.6,67.9,0.36,144.7,0.0288,4.1
8.3,18.6,81,0.39,195.9,0.028,4.2
13,24.9,15.8,0.9,270.9,0.0193,5.6
13.2,25.5,14.3,0.92,309.2,0.0149,5.6
15.7,27.2,9.7,0.84,320.9,0.0122,4.7
16.3,27.8,13.7,1.17,336.5,0.0104,4.9
17.4,29,12.7,1.17,293.1,0.009,5.3
14.7,26.5,28.5,0.85,218.8,0.008,4.2
12.3,23.3,24.1,0.71,174.1,0.0072,4.6
10.7,20.5,54,0.47,127,0.0065,3.2
8.2,18.2,95,0.42,117.5,0.0441,4.3
7.5,17.4,172.8,0.3,105.8,0.0753,5.2
8.3,18.2,45,0.44,148.9,0.0598,4.2
11.5,21.7,31.2,0.64,204.9,0.027,3.9
12.1,22.8,88.3,0.75,249.2,0.0189,3.8
13.9,24.9,15.2,0.89,291,0.0147,4.8
15.2,26.3,27,1.08,332.1,0.0121,4.2
16.9,28.3,23.3,1.14,307,0.0103,6
17.4,29,5.1,1.21,292.6,0.009,5.8
14.7,26.6,4.7,0.91,237,0.008,4.6
12.5,23.5,36.4,0.65,171.5,0.0072,3.9
11.3,21,54.8,0.53,128.3,0.0065,3.1
9.2,19.3,101.4,0.49,110.8,0.047,4.1
8.3,18.1,108,0.44,125.1,0.0753,3.6
7.5,17.4,126.9,0.34,143.8,0.0753,4.8
9.2,19.5,57.8,0.45,191.6,0.0586,3.9
11.8,22.6,25.9,0.71,261.8,0.0269,4.8
13.4,24.5,49.4,0.83,282.9,0.0188,5.6
15.3,26.5,8.5,0.97,321.7,0.0147,5.4
